;AmpDrag;PicoDrag;Voltaje;Velocidad;Re;Drag;St;CD;Espesor;Largo;Lift;CL;St Lift;St Drag;AmpLift;PicoLift;Espesores;Inercia;Masa x unidad de area;Young;Frecuencia Propia 1;Frecuencia Propia 2;Frecuencia Propia 3;Frecuencia Propia 4;Frecuencia Adimensional 1;Frecuencia Adimensional 2;Frecuencia Adimensional 3;Frecuencia Adimensional 4;Relacion de aspecto;Ca
15;0,69;17,14;50,0;4,46;14726,0;23,02;0,19;1,09;30,0;0,0625;21,39;1,01;0,19;0,19;3,92;17,2;3e-05;7,875e-16;0,0152775;2950000000,0;11,240872003844075;30,985896563366627;60,74474612995686;100,41412344707985;0,6535390699909346;1,8015056141492225;3,5316712866253988;5,8380304329697585;2083,3333333333335;2508,5250201775625
1;0,66;9,41;22,0;1,89;6257,0;5,69;0,25;1,49;30,0;0,075;3,97;1,04;0,5;0,25;2,88;18,96;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,41171735832176193;1,1349147534050714;2,2248866813890666;3,6778496925940516;2500,0;778,4237288135591
2;1,25;9,54;24,0;2,08;6862,0;7,41;0,23;1,61;30,0;0,075;5,44;1,18;0,46;0,23;2,89;19,01;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,4106344615350135;1,1319297067101608;2,2190347963775223;3,66817623206645;2500,0;942,7990314769976
3;1,11;8,92;26,0;2,26;7467,0;8,21;0,2;1,51;30,0;0,075;6,06;1,11;0,17;0,2;7,6;7,69;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;1,0151054764344092;2,7981773373940384;5,48554635619463;9,067884287592095;2500,0;1113,0363196125904
4;0,92;9,62;28,0;2,44;8072,0;8,43;0,2;1,32;30,0;0,075;6,88;1,08;0,39;0,2;3,0;18,99;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,41106693595474497;1,133121839102694;2,2213718525085153;3,6720395035062254;2500,0;1297,3946731234864
5;0,74;9,03;30,0;2,63;8677,0;8,64;0,17;1,17;30,0;0,075;7,77;1,06;0,36;0,17;3,3;19,01;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,4106344615350135;1,1319297067101608;2,2190347963775223;3,66817623206645;2500,0;1507,3147699757865
6;1,19;11,04;32,0;2,81;9281,0;10,79;0,2;1,28;30,0;0,075;8,84;1,05;0,2;0,2;3,19;11,15;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,7001041357650768;1,9298640111713146;3,7833050653934266;6,253993737361723;2500,0;1720,6997578692492
7;0,94;11,72;34,0;2,99;9886,0;11,96;0,2;1,25;30,0;0,075;10,17;1,06;0,32;0,2;3,14;18,93;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,41236984224937173;1,1367133504786138;2,2284126507732016;3,6836782974951516;2500,0;1948,2058111380145
8;0,84;12,48;36,0;3,17;10491,0;13,68;0,2;1,27;30,0;0,075;11,38;1,06;0,3;0,2;1,74;18,9;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,41302439755452947;1,1385176573841354;2,231949813710937;3,6895254059038742;2500,0;2189,832929782082
9;0,89;13,2;38,0;3,36;11096,0;15,75;0,2;1,31;30,0;0,075;13,1;1,09;0,28;0,2;1,89;18,93;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,41236984224937173;1,1367133504786138;2,2284126507732016;3,6836782974951516;2500,0;2460,203389830508
10;0,96;13,77;40,0;3,54;11701,0;17,28;0,19;1,29;30,0;0,075;14,71;1,1;0,2;0,19;2,34;13,86;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,5632150875743583;1,5525240782510936;3,0435679277876413;5,0311710080507375;2500,0;2730,857142857142
11;0,83;14,49;42,0;3,72;12306,0;18,22;0,19;1,23;30,0;0,075;15,48;1,05;0,2;0,19;2,27;14,55;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,5365059184728939;1,4788992250556807;2,8992337786348252;4,79257939323596;2500,0;3015,63196125908
12;0,85;15,19;44,0;3,91;12911,0;19,83;0,19;1,22;30,0;0,075;18,53;1,14;0,19;0,19;2,67;15,21;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,5132255827600661;1,4147260831400497;2,773428762599389;4,58461736828292;2500,0;3331,5472154963677
13;0,96;15,84;46,0;4,09;13516,0;21,48;0,19;1,2;30,0;0,075;20,32;1,14;0,19;0,19;3,35;15,88;3e-05;7,875e-16;0,0152775;2950000000,0;7,806161113780607;21,517983724560157;42,183851479136706;69,73203017158322;0,491571858550416;1,3550367584735614;2,6564138211043264;4,391185779066953;2500,0;3645,3486682808707
